자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-03622,2019.11.5 16:35,00152,마포구민체육센터 앞,6,2019.11.5 16:43,00101,(구)합정동 주민센터,4,7,1160
SPB-18327,2019.11.5 16:49,00196,연희교차로 인근,8,2019.11.5 17:13,00101,(구)합정동 주민센터,5,22,4140
SPB-14886,2019.11.5 18:07,00104,합정역 1번출구 앞,2,2019.11.5 18:16,00101,(구)합정동 주민센터,3,8,1080
SPB-21192,2019.11.5 17:54,00203,국회의사당역 3번출구 옆,2,2019.11.5 18:18,00101,(구)합정동 주민센터,2,22,3940
SPB-20543,2019.11.5 18:07,00409,누리꿈스퀘어 옆,4,2019.11.5 18:32,00101,(구)합정동 주민센터,2,24,4220
SPB-20995,2019.11.5 18:13,00148,용강동 주민센터 앞,2,2019.11.5 18:41,00101,(구)합정동 주민센터,1,27,4560
SPB-23690,2019.11.5 18:41,00247,당산역 10번출구 앞,9,2019.11.5 18:59,00101,(구)합정동 주민센터,5,17,2930
SPB-25430,2019.11.5 18:14,00224,롯데캐슬 앞,17,2019.11.5 19:06,00101,(구)합정동 주민센터,4,49,7260
SPB-05808,2019.11.5 19:11,00410,상암중학교 옆,3,2019.11.5 19:32,00101,(구)합정동 주민센터,2,20,5500
SPB-11531,2019.11.5 19:41,00104,합정역 1번출구 앞,8,2019.11.5 19:50,00101,(구)합정동 주민센터,1,9,1090
