,자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
103,SPB-10191,2019.11.3 11:56,105,합정역 5번출구 앞,5,2019.11.3 12:35,101,(구)합정동 주민센터,4,38,1610
104,SPB-10735,2019.11.3 12:15,106,합정역 7번출구 앞,10,2019.11.3 12:41,101,(구)합정동 주민센터,1,25,2180
105,SPB-07497,2019.11.3 12:46,151,망원1동주민센터,4,2019.11.3 12:54,101,(구)합정동 주민센터,5,7,1080
106,SPB-05156,2019.11.3 14:04,103,망원역 2번출구 앞,8,2019.11.3 14:40,101,(구)합정동 주민센터,5,35,1140
107,SPB-23965,2019.11.3 14:39,152,마포구민체육센터 앞,28,2019.11.3 14:46,101,(구)합정동 주민센터,1,6,1100
108,SPB-21140,2019.11.3 15:38,104,합정역 1번출구 앞,10,2019.11.3 15:46,101,(구)합정동 주민센터,1,7,0
109,SPB-21140,2019.11.3 16:09,106,합정역 7번출구 앞,9,2019.11.3 16:14,101,(구)합정동 주민센터,2,4,0
110,SPB-18241,2019.11.3 14:26,2103,신림동 우방아파트,3,2019.11.3 16:27,101,(구)합정동 주민센터,4,121,17060
111,SPB-14209,2019.11.3 14:26,2103,신림동 우방아파트,1,2019.11.3 16:28,101,(구)합정동 주민센터,1,121,16910
112,SPB-06227,2019.11.3 16:27,151,망원1동주민센터,8,2019.11.3 16:34,101,(구)합정동 주민센터,3,6,1170
113,SPB-16593,2019.11.3 17:16,106,합정역 7번출구 앞,1,2019.11.3 18:11,101,(구)합정동 주민센터,5,54,860
114,SPB-18241,2019.11.3 17:45,101,(구)합정동 주민센터,4,2019.11.3 18:12,101,(구)합정동 주민센터,4,26,2560
115,SPB-20935,2019.11.3 18:09,183,하늘채코오롱아파트 건너편,13,2019.11.3 18:29,101,(구)합정동 주민센터,1,18,2700
116,SPB-17422,2019.11.3 19:34,151,망원1동주민센터,9,2019.11.3 19:48,101,(구)합정동 주민센터,1,13,1050
117,SPB-06227,2019.11.3 19:35,151,망원1동주민센터,8,2019.11.3 19:48,101,(구)합정동 주민센터,3,12,1060
118,SPB-14926,2019.11.3 19:46,106,합정역 7번출구 앞,6,2019.11.3 19:53,101,(구)합정동 주민센터,5,6,910
119,SPB-15011,2019.11.3 19:53,182,망원2빗물펌프장 앞,4,2019.11.3 20:31,101,(구)합정동 주민센터,4,37,4240
120,SPB-24564,2019.11.3 19:24,182,망원2빗물펌프장 앞,3,2019.11.3 20:38,101,(구)합정동 주민센터,1,72,8530
121,SPB-21795,2019.11.3 20:59,106,합정역 7번출구 앞,8,2019.11.3 21:04,101,(구)합정동 주민센터,3,5,450
122,SPB-12801,2019.11.3 21:15,114,홍대입구역 8번출구 앞,3,2019.11.3 21:33,101,(구)합정동 주민센터,1,16,1940
123,SPB-22075,2019.11.3 21:50,152,마포구민체육센터 앞,1,2019.11.3 21:57,101,(구)합정동 주민센터,1,6,970
124,SPB-07429,2019.11.3 21:39,440,하늘공원 입구,5,2019.11.3 22:06,101,(구)합정동 주민센터,2,25,4030
125,SPB-14782,2019.11.3 22:17,184,SK망원동주유소 건너편,1,2019.11.3 22:26,101,(구)합정동 주민센터,1,8,1490
126,SPB-18241,2019.11.3 22:31,196,연희교차로 인근,1,2019.11.3 22:58,101,(구)합정동 주민센터,5,26,4430
127,SPB-21795,2019.11.3 22:56,101,(구)합정동 주민센터,3,2019.11.3 23:02,101,(구)합정동 주민센터,2,5,280
128,SPB-03349,2019.11.3 23:03,124,서강대 정문 건너편,5,2019.11.3 23:23,101,(구)합정동 주민센터,3,19,3470
129,SPB-22403,2019.11.3 23:45,119,서강나루 공원,10,2019.11.3 23:59,101,(구)합정동 주민센터,5,12,1530
130,SPB-18241,2019.11.3 23:45,101,(구)합정동 주민센터,5,2019.11.4 00:16,101,(구)합정동 주민센터,5,30,3810
131,SPB-24421,2019.11.4 00:01,419,홈플러스 앞,11,2019.11.4 00:29,101,(구)합정동 주민센터,5,27,3540
132,SPB-24856,2019.11.4 00:05,419,홈플러스 앞,14,2019.11.4 00:29,101,(구)합정동 주민센터,1,22,4250
133,SPB-01878,2019.11.4 00:03,419,홈플러스 앞,15,2019.11.4 00:29,101,(구)합정동 주민센터,1,25,4450
134,SPB-07435,2019.11.4 02:08,151,망원1동주민센터,7,2019.11.4 02:14,101,(구)합정동 주민센터,3,5,700
135,SPB-24875,2019.11.4 03:56,264,교보생명보험 앞,3,2019.11.4 04:12,101,(구)합정동 주민센터,1,15,3320
136,SPB-01717,2019.11.4 09:09,438,성산2-1 공영주차장,1,2019.11.4 09:26,101,(구)합정동 주민센터,4,15,3900
137,SPB-06287,2019.11.4 09:05,203,국회의사당역 3번출구 옆,1,2019.11.4 09:28,101,(구)합정동 주민센터,3,22,5020
138,SPB-15658,2019.11.4 10:08,228,선유도역 3번출구 앞,6,2019.11.4 10:28,101,(구)합정동 주민센터,5,20,2860
139,SPB-15658,2019.11.4 11:03,101,(구)합정동 주민센터,5,2019.11.4 12:27,101,(구)합정동 주민센터,4,83,3850
140,SPB-15658,2019.11.4 12:38,101,(구)합정동 주민센터,4,2019.11.4 12:53,101,(구)합정동 주민센터,2,14,2590
141,SPB-22075,2019.11.4 12:25,101,(구)합정동 주민센터,1,2019.11.4 12:54,101,(구)합정동 주민센터,5,27,490
142,SPB-15142,2019.11.4 12:33,152,마포구민체육센터 앞,23,2019.11.4 13:17,101,(구)합정동 주민센터,4,44,0
143,SPB-24564,2019.11.4 14:47,101,(구)합정동 주민센터,1,2019.11.4 15:27,101,(구)합정동 주민센터,1,39,3300
144,SPB-19967,2019.11.4 15:01,102,망원역 1번출구 앞,11,2019.11.4 15:30,101,(구)합정동 주민센터,3,27,2010
145,SPB-00069,2019.11.4 15:01,102,망원역 1번출구 앞,12,2019.11.4 15:30,101,(구)합정동 주민센터,4,28,1940
146,SPB-17778,2019.11.4 15:23,184,SK망원동주유소 건너편,9,2019.11.4 15:34,101,(구)합정동 주민센터,5,11,1700
147,SPB-17778,2019.11.4 17:16,101,(구)합정동 주민센터,5,2019.11.4 17:41,101,(구)합정동 주민센터,1,24,1750
148,SPB-24758,2019.11.4 17:59,106,합정역 7번출구 앞,7,2019.11.4 18:20,101,(구)합정동 주민센터,5,20,1130
149,SPB-20844,2019.11.4 17:55,115,사루비아 빌딩 앞,3,2019.11.4 18:21,101,(구)합정동 주민센터,1,24,3110
